feature,importance
Has HTTPS,0.401491175459228
Path Length,0.20003132421167835
Path Depth,0.17894314469238423
URL Length,0.05999510094401602
Number of Digits,0.05620936785148511
Domain Length,0.02063197590946824
Has Suspicious TLD,0.018058371449905703
Number of Subdomains,0.016422669877717132
Subdomain Count,0.015197402128661736
Number of Special Chars,0.012801163711198967
Domain Hyphens,0.0082757672188321
Has Dash,0.005569892703363522
Path Hyphens,0.0020084831079576052
Has Multiple Dots,0.001530698172460863
Query Length,0.001363055606550234
Number of Parameters,0.001003364383096555
Has Suspicious Chars,0.0004245759853616783
Has Double Slash,2.0191778372898644e-05
Number of Fragments,1.837672709229956e-05
Is IP Address,3.898077747441876e-06
Has Port,3.3993686760536822e-12
Has @ Symbol,2.1854922816442045e-14
